y_pred,y_true,decision_tree_sentiment
-1,1,-1
1,0,1
-1,0,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,-1,1
1,0,1
-1,-1,-1
1,1,1
1,0,1
-1,-1,-1
1,1,1
1,1,1
1,-1,1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,0,-1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,1,-1
1,1,1
-1,0,-1
-1,0,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,0,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,-1,1
1,1,1
1,1,1
-1,0,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,0,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,0,-1
-1,-1,-1
0,-1,0
1,1,1
0,1,0
-1,-1,-1
-1,-1,-1
-1,0,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,0,-1
1,-1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,0,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,0,1
1,1,1
-1,-1,-1
-1,1,-1
-1,-1,-1
1,-1,1
-1,1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
1,0,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,0,-1
1,1,1
0,0,0
-1,-1,-1
-1,-1,-1
-1,0,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,0,-1
-1,-1,-1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,-1,1
-1,1,-1
-1,1,-1
1,1,1
1,1,1
1,1,1
-1,1,-1
1,0,1
1,0,1
1,1,1
-1,1,-1
-1,-1,-1
1,-1,1
1,1,1
-1,0,-1
-1,-1,-1
1,0,1
-1,0,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,0,1
-1,-1,-1
1,1,1
0,0,0
1,0,1
-1,-1,-1
-1,1,-1
1,0,1
1,1,1
1,0,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,0,-1
-1,0,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,0,1
1,1,1
1,-1,1
-1,0,-1
-1,-1,-1
1,-1,1
-1,-1,-1
1,0,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,0,1
1,1,1
-1,-1,-1
1,1,1
-1,1,-1
1,-1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,0,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,0,-1
1,-1,1
-1,-1,-1
