,Unnamed: 0,Tweet,Tweet_cleaned,Emojis,Tweet_len,sentiment,Annotation,label,my_labels,aws_sentiment
0,0,- ستاربكس بعد تطوع متعب🤍 https://t.co/dDBgXF6W2X,ستاربكس تطوع متعب,['🤍'],3,positive,-1,1,positive,NEUTRAL
1,1,"- شربت قهوتين من دانكن 
والان الوضع لا يطاق 
مع الارق والتعب 💔",شربت قهوتين دانكن والان الوضع يطاق الارق والتعب,['💔'],8,negative,-1,-1,negative,NEGATIVE
2,2,".

من كثر مايرد مييته حتى فلبيني ستاربكس مايطوووفه 🚬",كثر مايرد مييته فلبيني ستاربكس مايطوووفه,['🚬'],6,positive,-1,1,negative,NEUTRAL
3,3,@___coi1 دانكن حقنا يحطون الدونات كلها شوكلت😔😔,coi دانكن حقنا يحطون الدونات كلها شوكلت,['😔'],7,negative,-1,-1,neutral,NEUTRAL
4,4,@__0qss كالعاده ستاربكس قهوتهم سيئه,qss كالعاده ستاربكس قهوتهم سيئه,,5,positive,-1,1,negative,MIXED
5,5,@__Bombshell___ ستاربكس بطعم الكباب,Bombshell ستاربكس بطعم الكباب,,4,positive,-1,1,neutral,NEUTRAL
6,6,@_4plw @ALNSR_17 @Nawaf_STATS ماجيت اتميلح ومسوي نفسي مزيون واخر شي مغطي نص وجهي بالكوب ومسوي كشخه المراهق قهوه من دانكن الخفقان لاعب فيك بس اهم شي تكشخ,plw ماجيت اتميلح ومسوي نفسي مزيون واخر شي مغطي نص وجهي بالكوب ومسوي كشخه المراهق قهوه دانكن الخفقان لاعب فيك اهم شي تكشخ,,23,negative,-1,-1,negative,NEGATIVE
7,7,@_Hs86 @Azarbi_ @FuhrerTT في كتابي اي واحد يمدح بن دانكن مايفهم,Hs كتابي يمدح دانكن مايفهم,,5,negative,-1,-1,neutral,POSITIVE
8,8,@_iDmoh مين يفطر دانكن يخوي وش الفكك ذا,iDmoh مين يفطر دانكن يخوي وش الفكك,,7,positive,-1,1,neutral,NEGATIVE
9,9,@_irc0 كوب دانكن الفلين ..قددديم https://t.co/Hsf0qk8aIS,irc كوب دانكن الفلين قددديم,,5,negative,-1,-1,neutral,NEUTRAL
10,10,@_iuranus مافي شي حتى ستاربكس😭😭😭,iuranus مافي شي ستاربكس,['😭'],4,negative,-1,-1,neutral,NEUTRAL
11,11,@_mnfc99 دانكن رخيص شوفي شيء اغلى,mnfc دانكن رخيص شوفي شيء اغلى,,6,negative,-1,-1,negative,NEGATIVE
12,12,@_qmir1 منجد والله ماحبيت دانكن الا منو اصلاً,qmir منجد والله ماحبيت دانكن منو اصلا,,7,negative,-1,-1,positive,POSITIVE
13,13,@_r19u ماعجبني مره مرهه او ان ستاربكس ماضبطوه,r u ماعجبني مره مرهه ستاربكس ماضبطوه,,7,negative,-1,-1,negative,POSITIVE
14,14,@_ssj60 ذقت حق ستاربكس سيء مره ماعجبني,ssj ذقت حق ستاربكس سيء مره ماعجبني,,7,negative,-1,-1,negative,NEGATIVE
15,15,@_tthegreat ايه بالضبط دانكن مافيه شي زين غير الامريكانو باقي المشروبات الله يكرم النعمه صدق,tthegreat ايه بالضبط دانكن مافيه شي زين الامريكانو باقي المشروبات الله يكرم النعمه صدق,,14,positive,-1,1,negative,MIXED
16,16,@_waheed20 منتازه مع قهوة دانكن وقليل من زحمات الرياض,waheed منتازه قهوة دانكن وقليل زحمات الرياض,,7,negative,-1,-1,neutral,NEUTRAL
17,17,@_zilzall1 الحل مقاطعة ستاربكس وخلوها تفلس,zilzall الحل مقاطعة ستاربكس وخلوها تفلس,,6,negative,-1,-1,negative,NEUTRAL
