Tweet,Tweet_cleaned,Emojis,Tweet_len,sentiment,Annotation,label,my_sentiment
- ستاربكس بعد تطوع متعب🤍 https://t.co/dDBgXF6W2X,ستاربكس تطوع متعب,['🤍'],3,positive,-1,1,1
"- شربت قهوتين من دانكن 
والان الوضع لا يطاق 
مع الارق والتعب 💔",شربت قهوتين دانكن والان الوضع يطاق الارق والتعب,['💔'],8,negative,-1,-1,-1
".

من كثر مايرد مييته حتى فلبيني ستاربكس مايطوووفه 🚬",كثر مايرد مييته فلبيني ستاربكس مايطوووفه,['🚬'],6,positive,-1,1,1
@___coi1 دانكن حقنا يحطون الدونات كلها شوكلت😔😔,coi دانكن حقنا يحطون الدونات كلها شوكلت,['😔'],7,negative,-1,-1,-1
@__0qss كالعاده ستاربكس قهوتهم سيئه,qss كالعاده ستاربكس قهوتهم سيئه,,5,positive,-1,1,-1
@__Bombshell___ ستاربكس بطعم الكباب,Bombshell ستاربكس بطعم الكباب,,4,positive,-1,1,1
@_4plw @ALNSR_17 @Nawaf_STATS ماجيت اتميلح ومسوي نفسي مزيون واخر شي مغطي نص وجهي بالكوب ومسوي كشخه المراهق قهوه من دانكن الخفقان لاعب فيك بس اهم شي تكشخ,plw ماجيت اتميلح ومسوي نفسي مزيون واخر شي مغطي نص وجهي بالكوب ومسوي كشخه المراهق قهوه دانكن الخفقان لاعب فيك اهم شي تكشخ,,23,negative,-1,-1,-1
@_Hs86 @Azarbi_ @FuhrerTT في كتابي اي واحد يمدح بن دانكن مايفهم,Hs كتابي يمدح دانكن مايفهم,,5,negative,-1,-1,-1
@_iDmoh مين يفطر دانكن يخوي وش الفكك ذا,iDmoh مين يفطر دانكن يخوي وش الفكك,,7,positive,-1,1,-1
@_irc0 كوب دانكن الفلين ..قددديم https://t.co/Hsf0qk8aIS,irc كوب دانكن الفلين قددديم,,5,negative,-1,-1,-1
@_iuranus مافي شي حتى ستاربكس😭😭😭,iuranus مافي شي ستاربكس,['😭'],4,negative,-1,-1,-1
@_mnfc99 دانكن رخيص شوفي شيء اغلى,mnfc دانكن رخيص شوفي شيء اغلى,,6,negative,-1,-1,-1
@_qmir1 منجد والله ماحبيت دانكن الا منو اصلاً,qmir منجد والله ماحبيت دانكن منو اصلا,,7,negative,-1,-1,-1
@_r19u ماعجبني مره مرهه او ان ستاربكس ماضبطوه,r u ماعجبني مره مرهه ستاربكس ماضبطوه,,7,negative,-1,-1,-1
@_ssj60 ذقت حق ستاربكس سيء مره ماعجبني,ssj ذقت حق ستاربكس سيء مره ماعجبني,,7,negative,-1,-1,-1
@_tthegreat ايه بالضبط دانكن مافيه شي زين غير الامريكانو باقي المشروبات الله يكرم النعمه صدق,tthegreat ايه بالضبط دانكن مافيه شي زين الامريكانو باقي المشروبات الله يكرم النعمه صدق,,14,positive,-1,1,1
@_waheed20 منتازه مع قهوة دانكن وقليل من زحمات الرياض,waheed منتازه قهوة دانكن وقليل زحمات الرياض,,7,negative,-1,-1,-1
@_zilzall1 الحل مقاطعة ستاربكس وخلوها تفلس,zilzall الحل مقاطعة ستاربكس وخلوها تفلس,,6,negative,-1,-1,-1
@_zilzall1 اللي يشتري من ستاربكس هطف,zilzall اللي يشتري ستاربكس هطف,,5,positive,-1,1,1
@_zilzall1 مقاطعة ستاربكس واجب ديني واخلاقي,zilzall مقاطعة ستاربكس واجب ديني واخلاقي,,6,positive,-1,1,1
@_zlllo تفهمي كفايه خوف من المجتمع اسوء القهاوي عند دانكن,zlllo تفهمي كفايه خوف المجتمع اسوء القهاوي دانكن,,8,negative,-1,-1,-1
@_zlllo دانكن مو حلو عادي,zlllo دانكن مو حلو عادي,,5,negative,-1,-1,-1
@0hanamohamed0 ولا عاوزة اروحه يا ستي المندرة و دانكن ف جملة واحدة😭😭😭😭😭😭,عاوزة اروحه ستي المندرة دانكن جملة واحدة,['😭'],7,positive,-1,1,1
@0sullyoon ايوا 😭😭 ، بس انا جربت حق ستاربكس صراحة سيء جدًا,ايوا انا جربت حق ستاربكس سيء,['😭'],6,negative,-1,-1,-1
@1__bz هذا توني شريته كنت طايحه اول على بن دانكن https://t.co/HpVHMbfKhi,bz توني شريته كنت طايحه دانكن,,6,negative,-1,-1,-1
@11pmo احس مشروبات ستاربكس كلها نفس الطعم,احس مشروبات ستاربكس كلها الطعم,,5,negative,-1,-1,-1
@11spectacular دانكن ماعندهم الا البلاك كوفي الحلوه,دانكن ماعندهم البلاك كوفي الحلوه,,5,negative,-1,-1,-1
@12Vuo ستاربكس وحق اختي وكلهم سوو لي مغص😭😭,ستاربكس وحق اختي وكلهم سوو مغص,['😭'],6,negative,-1,-1,-1
@13Rashes هاف مليون معن قهوتهم مجانا اليوم لا تجي,هاف معن قهوتهم مجانا تجي,,5,positive,-1,1,-1
@192nt @itsl6_ فعلًا أغلب مشروبات دانكن سيئة,فعلا اغلب مشروبات دانكن سيئة,,5,negative,-1,-1,-1
@1H__m__H1 دانكن ، بارنز جربت كذا مشروب وماجاز لي,m H دانكن بارنز جربت مشروب وماجاز,,7,negative,-1,-1,-1
@1IGil الظروف حدتني الى أقرب قهوة وللأسف كانت ستاربكس,الظروف حدتني اقرب قهوة وللاسف ستاربكس,,6,positive,-1,1,1
@1iTariq ماابغا دانكن اتمنى بطاقه العثيم ٥٠٠ ارجوك,ماابغا دانكن اتمنى بطاقه العثيم ارجوك,,6,negative,-1,-1,-1
@1li_al هههههههههههههههههههههه هههههههههههههههههههههه ماحسني مره مع ستاربكس,al هههههههههههههههههههههه هههههههههههههههههههههه ماحسني مره ستاربكس,,6,negative,-1,-1,-1
@1rrr1_r @overdose_coffe @DunkinDonutsKSA دانكن ليش ليششش كذا 💔💔💔,r دانكن ليش ليششش,['💔'],4,negative,-1,-1,-1
@1Thenightbird دا نسكافيه بس طعمه وييييع 😂,دا نسكافيه طعمه وييييع,['😂'],4,positive,-1,1,1
@1v2v5 @gorgeous4ew الحين ستاربكس رفاهيه !,الحين ستاربكس رفاهيه,,3,positive,-1,1,1
@1weejj @vz1_7 طعمه طعم حنا او سدر ، وحق ستاربكس اعطيه 10/0,طعمه طعم حنا سدر وحق ستاربكس اعطيه,,7,positive,-1,1,1
@1xtri لا تشترين حقت ستاربكس ميزتها تعدم لك ام الطعم,تشترين حقت ستاربكس ميزتها تعدم ام الطعم,,7,negative,-1,-1,1
@2_K44 المشكله دانكن ماعنده v60,K المشكله دانكن ماعنده v,,5,negative,-1,-1,-1
@200iill ما تعجبني الكبسولات بس اقدر اوصيك لا تستخدمي حقت ستاربكس خايسه,تعجبني الكبسولات اقدر اوصيك تستخدمي حقت ستاربكس خايسه,,8,positive,-1,1,1
@24Cisse @DunkinDonutsKSA اخيس شي حقت ستاربكس,اخيس شي حقت ستاربكس,,4,negative,-1,-1,-1
"@2andeeel معرفش بجد
حتى ستاربكس بقا معفن 😂",معرفش بجد ستاربكس بقا معفن,['😂'],5,positive,-1,1,1
@2ax1_ بديت احس ستاربكس فيه عرض القبيله الفلانيه,بديت احس ستاربكس عرض القبيله الفلانيه,,6,negative,-1,-1,-1
@2ilji8 حق ستاربكس مو حلو كأنه سدر 🤮,حق ستاربكس مو حلو كانه سدر,['🤮'],6,positive,-1,1,1
@2ler9 حتى قهوه ستاربكس غاليه اخذلج ثلاثه بواحد ارخص ١٥٠ فلس,قهوه ستاربكس غاليه اخذلج ثلاثه بواحد ارخص,,7,positive,-1,1,1
@2shdf ستاربكس اغلى منه وبدون مق سعر كويس طيب,ستاربكس اغلى وبدون مق سعر كويس طيب,,7,positive,-1,1,1
@2Urer اكره ستاربكس بس ذالشي لازم يصدرونه لنا,اكره ستاربكس ذالشي لازم يصدرونه,,5,negative,-1,-1,-1
@2vrer بكره دانكن لاتنسى😭,بكره دانكن لاتنسى,['😭'],3,negative,-1,-1,-1
